url,title,price,location,bedrooms,bathrooms,area
https://bh.opensooq.com/en/search/286573286,للإيجار منزل في مدينة حمد دوار19,300,"Madinat Hamad, Northern Governorate",3,2,15 m2
https://bh.opensooq.com/en/search/286572492,استديو للايجار سوق واقف,100,"Madinat Hamad, Northern Governorate",Studio,1,35 m2
https://bh.opensooq.com/en/search/286572280,شقه مكتبيه واسعه على الشارع,200,"Zinj, Manama",,,100 m2
https://bh.opensooq.com/en/search/286572072,محل / مخزن للإيجار shop for rent office مكتب,100,"Budaiya, Northern Governorate",,,21 m2
https://bh.opensooq.com/en/search/286150372,شقة للايجار apartment for rent,170,"Ras Al-Rumman, Manama",2,1,100 m2
https://bh.opensooq.com/en/search/286569924,For rent villa 7 bedroom in zallq,"1,000","Zallaq, Southern Governorate",6+,6+,700 m2
https://bh.opensooq.com/en/search/286568550,شقة للإيجار في منطقة رأس رمان  flat for rent in Ras Rumman,170,"Ras Al-Rumman, Manama",2,1,30 m2
https://bh.opensooq.com/en/search/285568980,Quality Living  Posh Furniture  Balcony  Best Facilities  Near K Hotel Juffair,250,"Juffair, Manama",Studio,1,45 m2
https://bh.opensooq.com/en/search/284592254,شقق جديدة وفاخرة للإيجار  الرفاع  275 دينار,375,"Riffa, Southern Governorate",2,2,130 m2
https://bh.opensooq.com/en/search/286562992,بناية تجارية وسكنية للبيع في المحرق علي شارعين بسعر مميز ومدخول قوي,"190,000","Muharraq City, Muharraq",,,1000 m2
https://bh.opensooq.com/en/search/286562942,للبيع بيت في قلالي,"75,000","Galaly, Muharraq",,,168 m2
https://bh.opensooq.com/en/search/286513496,للبيع منزل في مدينة حمد,"120,000","Madinat Hamad, Northern Governorate",3,,360 m2
https://bh.opensooq.com/en/search/286511374,BD 400 (inclusive EWA) 2BR Fully Furnished Flat In Juffair,400,"Juffair, Manama",2,2,100 m2
https://bh.opensooq.com/en/search/285559322,للبيع شقة في منطقة الحد الجديدة قريبة من جميع الخدمات,"48,000","Hidd, Muharraq",3,3,128 m2
https://bh.opensooq.com/en/search/285558476,للبيع شقة دبلوكس نظام طابقين في منطقة الحد الجديدة قريبة من جميع الخدمات,"72,000","Hidd, Muharraq",4,4,200 m2
https://bh.opensooq.com/en/search/286549628,شقه فخمه للإيجار بالجفير,350,"Juffair, Manama",2,2,132 m2
https://bh.opensooq.com/en/search/286549590,شقه راقيه بالجفير,"51,000","Juffair, Manama",2,2,133 m2
